id;nazvanie_fabriki;strana_proishozhdeniya;seriya;vnutrennij_kod;name;kratkoe_naimenovanie;tovarnaya_gruppa;articul_fabriki;sostoyanie;edinica_izmereniya;vid_svetilnika;kol_vo_lampochek;vid_cokolya;max_mownost;obwee_opisanie;stil;napryazhenie;stepen_zawity;f;klass_zazemlemiya;komplektaciya;ves;obiem;razmery_svetilnika;dlina;shirina;shirina_vrezki;shirina_plafona;vysota;vysota_abazhura;vysota_plafona;max_vysota;min_vysota;glubina;glubina_vrezki;diametr_plafona;diametr;diametr_abazhura;diametr_vrezki;cvet_stekla;cvet_metalla;cvet_abazhura;cvet_plafona;cvet_dekorativnoj_detali;podveski;tip_hrustalya;title;h1;price;ostatki
id;Название фабрики;Страна происхождения;Серия;Внутренний Код;Наименование;Краткое наименование;Товарная группа;Артикул фабрики;Состояние;Единица измерения;Вид светильника;Кол-во лампочек (цоколей);Вид цоколя;Мах мощность;Общее описание;Стиль;Напряжение;Степень защиты (IP);F;Класс заземления;Комплектация;Вес;Объем (м3);Размеры светильника (см);Длина (см);Ширина (см);Ширина врезки (см);Ширина плафона (см);Высота (см);Высота абажура (см);Высота плафона (см);МАКС высота (см);МИН высота (см);Глубина (см);Глубина врезки (см);Диаметр плафона (см);Диаметр (см);Диаметр абажура (см);Диаметр Врезки (см);Цвет стекла;Цвет металла (арматура);Цвет абажура;Цвет плафона;Цвет декоративной детали;Подвески;Тип хрусталя;Поле TITLE;Поле H1;Цена;Остатки
native;string;string;string;string;native;text;string;string;string;string;string;string;string;string;text;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;string;price;string
880;L'ARTE LUCE;ИТАЛИЯ;TERAMO;L16909.04;Люстра Teramo кованая;Люстра Teramo;ЛЮСТРЫ;L16909.04;1;шт;Люстра;9;E14;60;Двухъярусная люстра Teramo. Дополнительно в комплект входит цепь длиной 1 м.;ковка;220;;;;;;;;;;;;75;;;;;;;;87;;;;;;;;;;;;26626;31
1294;L'ARTE LUCE;ИТАЛИЯ;VICENZA;L55512.41;Люстра Vicenza 12-ти рожковая;Люстра Vicenza;ЛЮСТРЫ;L55512.41;1;шт;Люстра;12;E14;60;Люстра Vicenza, 12-ти рожковая.;классика;;;;;;;;;;;;;65;;;;;;;;84;;;;Sand golden;;;;;;;;30755;8
1303;L'ARTE LUCE;ИТАЛИЯ;MALPENSA;L77712.42;Люстра Malpensa 12-ти рожковая;Люстра Malpensa;ЛЮСТРЫ;L77712.42;1;шт;Люстра;12;E27;60;Люстра Malpensa, 12-ти рожковая.;классика;;;;;;;;;;;;;114;;;;;;;;102;;;DGN;Amber sunset glass;;;;;;;;12397;0
817;JOALPA;ИСПАНИЯ;POPA;8152404104;Люстра Popa кованая;Люстра Popa;ЛЮСТРЫ;L-2078/15 С-25-10;1;шт;Люстра;15;E14;40;Двухъярусная люстра Popa. Выполнена под старину. Плафоны из стекла с элементами фигурной резьбы. Хрустальные подвески. Вставки из патинированного золота.;ковка;220;;;;;;;;;;;;150;;;;;;;;125;;;Transparent;Marron oxido/Oro viejo;;;;;;;;106877;3
1032;MIRADA DE CRISTAL;ИСПАНИЯ;ALICANTE;55010/14/01;Люстра Alicante хрустальная;Люстра Alicante;ЛЮСТРЫ;55010/14/01;1;шт;Люстра;14;E14;40;Двухъярусная хрустальная люстра Alicante, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;100;;;;;;;;81;;;;Chrome;;;;;Asfour crystal;;;61919;1
1033;MIRADA DE CRISTAL;ИСПАНИЯ;ALICANTE;55010/14/24;Люстра Alicante хрустальная;Люстра Alicante;ЛЮСТРЫ;55010/14/24;1;шт;Люстра;14;E14;40;Двухъярусная хрустальная люстра Alicante, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;100;;;;;;;;81;;;;Gold;;;;;Asfour crystal;;;68243;7
1042;MIRADA DE CRISTAL;ИСПАНИЯ;FROST;57010/12/01;Люстра Frost хрустальная;Люстра Frost;ЛЮСТРЫ;57010/12/01;1;шт;Люстра;12;E14;40;Хрустальная двухъярусная люстра Frost, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;105;;;;;;;;88;;;;Chrome;;;;;Asfour crystal;;;71415;7
1043;MIRADA DE CRISTAL;ИСПАНИЯ;FROST;57010/12/24;Люстра Frost хрустальная;Люстра Frost;ЛЮСТРЫ;57010/12/24;1;шт;Люстра;12;E14;40;Хрустальная двухъярусная люстра Frost, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;105;;;;;;;;88;;;;Gold;;;;;Asfour crystal;;;76065;15
1943;L'ARTE LUCE;ИТАЛИЯ;TULIP;L37012.83;Люстра Tulip кованая;Люстра Tulip;ЛЮСТРЫ;L37012.83;1;шт;Люстра;8+4;E27;60;Люстра Tulip двухъярусная.;ковка;220;;;;;;;;;;;;96;;;;;;;;110,5;;;;;;;;;;;;17255;31
1953;L'ARTE LUCE;ИТАЛИЯ;FLOWER;L38008.85;Люстра Flower;Люстра Flower;ЛЮСТРЫ;L38008.85;1;шт;Люстра;8;E14;60;Люстра Flower, 8-ми рожковая.;флористика;220;;;;;;;;;;;;102;;;;;;;;100;;;;;;;;;;;;10705;18
17032;L'ARTE LUCE;ИТАЛИЯ;CAPRI;L15012.37;Люстра Capri подвесная;Люстра Capri;ЛЮСТРЫ;L15012.37;1;шт;Люстра;12;E14;60;Люстра Capri, 12-ти рожковая.;ковка;;;;;;;;;;;;;83,3;;;;;;;;110;;;;OR with gold;;;;;;;;24868;0
